"rep","n","sce","method","bias_rel_pct","cover_pct","auc"
28,50,1,"IV-G",NA,NA,NA
28,50,1,"IV-GMM",845.549187327641,100,0.408653846153846
29,50,1,"GLM",21.9193317075496,100,0.691666666666667
29,50,1,"IV-TS",20.1831513292919,100,0.541666666666667
29,50,1,"IV-G",1.41521963242017,100,0.691666666666667
29,50,1,"IV-GMM",18.8799179739403,100,0.691666666666667
30,50,1,"GLM",90.8856162976036,100,0.792282430213465
30,50,1,"IV-TS",305.801682272119,100,0.516420361247947
30,50,1,"IV-G",57.6351009279615,100,0.792282430213465
30,50,1,"IV-GMM",881.08265562024,100,0.792282430213465
31,50,1,"GLM",69.2964954763267,100,0.751602564102564
31,50,1,"IV-TS",24.1008284300107,100,0.548076923076923
31,50,1,"IV-G",0.745169019007763,100,0.751602564102564
31,50,1,"IV-GMM",19.5300044765634,100,0.751602564102564
32,50,1,"GLM",1.84409636305198,100,0.66
32,50,1,"IV-TS",251.988375192655,100,0.54
32,50,1,"IV-G",NA,NA,NA
32,50,1,"IV-GMM",843.364981163511,100,0.34
33,50,1,"GLM",19.5281043784119,100,0.666666666666667
33,50,1,"IV-TS",58.0885573762744,100,0.618589743589744
33,50,1,"IV-G",59.420932479909,100,0.666666666666667
33,50,1,"IV-GMM",879.123743661261,100,0.666666666666667
34,50,1,"GLM",46.6337068790513,100,0.75974025974026
34,50,1,"IV-TS",10.2859135110903,100,0.550324675324675
34,50,1,"IV-G",50.9280595139257,100,0.75974025974026
34,50,1,"IV-GMM",22.5931790027946,100,0.75974025974026
35,50,1,"GLM",16.7687457907041,100,0.705882352941177
35,50,1,"IV-TS",39.8774931311616,100,0.573529411764706
35,50,1,"IV-G",28.9998052771822,100,0.705882352941177
35,50,1,"IV-GMM",43.5859490383838,100,0.705882352941177
36,50,1,"GLM",857.294350140565,100,0.72
36,50,1,"IV-TS",100,100,0.5
36,50,1,"IV-G",150,100,0.28
36,50,1,"IV-GMM",876.233649327694,100,0.72
37,50,1,"GLM",19.8947627909796,100,0.644927536231884
37,50,1,"IV-TS",475.005283494419,100,0.667471819645733
37,50,1,"IV-G",NA,NA,NA
37,50,1,"IV-GMM",745.353914607685,100,0.644927536231884
38,50,1,"GLM",861.142402430932,100,0.695652173913043
38,50,1,"IV-TS",240.437741415747,100,0.71658615136876
38,50,1,"IV-G",NA,NA,NA
38,50,1,"IV-GMM",1146.47422021803,100,0.695652173913043
39,50,1,"GLM",77.767403073254,100,0.772435897435897
39,50,1,"IV-TS",93.0316344506162,100,0.503205128205128
39,50,1,"IV-G",90.3207549335685,100,0.772435897435897
39,50,1,"IV-GMM",93.0350994679204,100,0.772435897435897
40,50,1,"GLM",80.9943291313133,100,0.768472906403941
40,50,1,"IV-TS",49.7232670601314,100,0.537766830870279
40,50,1,"IV-G",38.1275578991407,100,0.768472906403941
40,50,1,"IV-GMM",49.9519644920214,100,0.768472906403941
41,50,1,"GLM",45.0710797038958,100,0.709415584415584
41,50,1,"IV-TS",131.892046000663,100,0.603896103896104
41,50,1,"IV-G",36.718416721385,100,0.709415584415584
41,50,1,"IV-GMM",1112.36377756056,100,0.709415584415584
42,50,1,"GLM",842.68752900029,100,0.653846153846154
42,50,1,"IV-TS",388.275425374439,100,0.536858974358974
42,50,1,"IV-G",NA,NA,NA
42,50,1,"IV-GMM",828.730203169195,100,0.653846153846154
43,50,1,"GLM",37.412831076932,100,0.658333333333333
43,50,1,"IV-TS",1309.88577045516,100,0.64
43,50,1,"IV-G",NA,NA,NA
43,50,1,"IV-GMM",725.747596256729,100,0.658333333333333
44,50,1,"GLM",48.3780698271788,100,0.767310789049919
44,50,1,"IV-TS",171.96195841076,100,0.64975845410628
44,50,1,"IV-G",NA,NA,NA
44,50,1,"IV-GMM",757.508156276603,100,0.767310789049919
45,50,1,"GLM",31.4743938550725,100,0.655394524959742
45,50,1,"IV-TS",107.947354988233,100,0.504830917874396
45,50,1,"IV-G",113.812664728232,100,0.344605475040258
45,50,1,"IV-GMM",107.983429054646,100,0.344605475040258
46,50,1,"GLM",862.960784407564,100,0.729166666666667
46,50,1,"IV-TS",16.6095673435256,100,0.583333333333333
46,50,1,"IV-G",NA,NA,NA
46,50,1,"IV-GMM",844.822595475774,100,0.729166666666667
47,50,1,"GLM",48.3780698271789,100,0.767310789049919
47,50,1,"IV-TS",6.13111037584362,100,0.597423510466989
47,50,1,"IV-G",11.4861131504375,100,0.767310789049919
47,50,1,"IV-GMM",18.0454460006199,100,0.767310789049919
48,50,1,"GLM",90.8856162976036,100,0.792282430213465
48,50,1,"IV-TS",54.7879491344005,100,0.561576354679803
48,50,1,"IV-G",7.18508354302891,100,0.792282430213465
48,50,1,"IV-GMM",125.141363994543,100,0.792282430213465
49,50,1,"GLM",78.3983262724276,100,0.758333333333333
49,50,1,"IV-TS",124.855600698788,100,0.508333333333333
49,50,1,"IV-G",121.765902008967,100,0.758333333333333
49,50,1,"IV-GMM",125.750885096033,100,0.758333333333333
50,50,1,"GLM",65.7093002287277,100,0.756038647342995
50,50,1,"IV-TS",93.616792808185,100,0.615942028985507
50,50,1,"IV-G",46.2458193119584,100,0.756038647342995
50,50,1,"IV-GMM",743.032053418795,100,0.756038647342995
51,50,1,"GLM",6.41158529216903,100,0.688455008488964
51,50,1,"IV-TS",94.648545206802,100,0.50509337860781
51,50,1,"IV-G",94.4104280101722,100,0.688455008488964
51,50,1,"IV-GMM",94.6686468937947,100,0.688455008488964
52,50,1,"GLM",9.06121179944286,100,0.595486111111111
52,50,1,"IV-TS",979.12444002757,100,0.586805555555556
52,50,1,"IV-G",NA,NA,NA
52,50,1,"IV-GMM",896.52071486203,100,0.404513888888889
53,50,1,"GLM",41.6606671862941,100,0.722222222222222
53,50,1,"IV-TS",12.9233264328517,100,0.543402777777778
53,50,1,"IV-G",33.9121958891658,100,0.722222222222222
53,50,1,"IV-GMM",11.3267462057275,100,0.722222222222222
54,50,1,"GLM",26.0637146978135,100,0.689338235294118
54,50,1,"IV-TS",323.820016317507,100,0.619485294117647
54,50,1,"IV-G",NA,NA,NA
54,50,1,"IV-GMM",895.656558628927,100,0.689338235294118
55,50,1,"GLM",12.187229648553,100,0.689102564102564
55,50,1,"IV-TS",96.8699162490591,100,0.501602564102564
55,50,1,"IV-G",97.6496947019493,100,0.689102564102564
55,50,1,"IV-GMM",96.8702594040606,100,0.689102564102564
56,50,1,"GLM",35.8174501958417,100,0.681964573268921
56,50,1,"IV-TS",119.860748585894,100,0.619162640901771
56,50,1,"IV-G",72.1374010487091,100,0.681964573268921
56,50,1,"IV-GMM",982.761430415876,100,0.681964573268921
57,50,1,"GLM",11.3998117999141,100,0.724957555178268
57,50,1,"IV-TS",89.1878422031016,100,0.511035653650255
57,50,1,"IV-G",86.6618875048399,100,0.724957555178268
57,50,1,"IV-GMM",89.2750331784683,100,0.724957555178268
58,50,1,"GLM",821.755316671107,100,0.657894736842105
58,50,1,"IV-TS",99.7057669564837,100,0.622241086587436
58,50,1,"IV-G",NA,NA,NA
58,50,1,"IV-GMM",1143.72058375807,100,0.657894736842105
59,50,1,"GLM",56.7747107962158,100,0.729166666666667
59,50,1,"IV-TS",304.141978080066,100,0.580128205128205
59,50,1,"IV-G",22.8368325178288,100,0.729166666666667
59,50,1,"IV-GMM",886.218503088077,100,0.729166666666667
60,50,1,"GLM",23.5830711470002,100,0.689338235294118
60,50,1,"IV-TS",36.4212007070124,100,0.527573529411765
60,50,1,"IV-G",22.028601890127,100,0.689338235294118
60,50,1,"IV-GMM",22.2991894113844,100,0.689338235294118
61,50,1,"GLM",40.3038765764204,100,0.610576923076923
61,50,1,"IV-TS",169.498250365768,100,0.564102564102564
61,50,1,"IV-G",NA,NA,NA
61,50,1,"IV-GMM",897.515510822792,100,0.610576923076923
62,50,1,"GLM",20.4455613118002,100,0.646010186757216
62,50,1,"IV-TS",88.2751680856035,100,0.527164685908319
62,50,1,"IV-G",NA,NA,NA
62,50,1,"IV-GMM",914.747495680636,100,0.646010186757216
63,50,1,"GLM",929.385987933063,100,0.82
63,50,1,"IV-TS",26.4300618991308,100,0.52
63,50,1,"IV-G",851.187210902895,0,0.5
63,50,1,"IV-GMM",21.0911694978738,100,0.82
64,50,1,"GLM",11.3022507187035,100,0.626409017713366
64,50,1,"IV-TS",214.817405701235,100,0.525764895330113
64,50,1,"IV-G",255.3040143456,100,0.373590982286634
64,50,1,"IV-GMM",257.618972446816,100,0.373590982286634
65,50,1,"GLM",15.7503806495878,100,0.679802955665025
65,50,1,"IV-TS",27.8491421714509,100,0.5311986863711
65,50,1,"IV-G",2.6027220498987,100,0.679802955665025
65,50,1,"IV-GMM",26.36022636762,100,0.679802955665025
66,50,1,"GLM",59.3811640633061,100,0.74512987012987
66,50,1,"IV-TS",146.946795194627,100,0.646103896103896
66,50,1,"IV-G",47.040182617334,100,0.74512987012987
66,50,1,"IV-GMM",787.670451857464,100,0.74512987012987
67,50,1,"GLM",25.1057286736524,100,0.6
67,50,1,"IV-TS",39.6289832699417,100,0.54
67,50,1,"IV-G",42.9857360281677,100,0.6
67,50,1,"IV-GMM",34.9828407184613,100,0.6
68,50,1,"GLM",55.6757603369393,100,0.709415584415584
68,50,1,"IV-TS",97.5052464969071,100,0.647727272727273
68,50,1,"IV-G",87.5928075960271,100,0.709415584415584
68,50,1,"IV-GMM",996.501481731791,100,0.709415584415584
69,50,1,"GLM",40.8131884381802,100,0.677133655394525
69,50,1,"IV-TS",63.4986250382017,100,0.608695652173913
69,50,1,"IV-G",57.1081263942024,100,0.677133655394525
69,50,1,"IV-GMM",1030.24653615022,100,0.677133655394525
70,50,1,"GLM",87.3910986384303,100,0.766544117647059
70,50,1,"IV-TS",251.32139642063,100,0.547794117647059
70,50,1,"IV-G",NA,NA,NA
70,50,1,"IV-GMM",950.219647662582,100,0.766544117647059
71,50,1,"GLM",15.1292546495965,100,0.719155844155844
71,50,1,"IV-TS",72.9574691231484,100,0.512987012987013
71,50,1,"IV-G",71.6569730134237,100,0.719155844155844
71,50,1,"IV-GMM",73.0503979192588,100,0.719155844155844
72,50,1,"GLM",49.7866085541521,100,0.698872785829308
72,50,1,"IV-TS",35.9882086427924,100,0.541867954911433
72,50,1,"IV-G",799.776181658209,0,0.5
72,50,1,"IV-GMM",33.5702764258222,100,0.698872785829308
73,50,1,"GLM",15.7503806495879,100,0.679802955665025
73,50,1,"IV-TS",73.2460908071874,100,0.507389162561576
73,50,1,"IV-G",118.734666228814,100,0.320197044334975
73,50,1,"IV-GMM",73.5678588920742,100,0.679802955665025
74,50,1,"GLM",844.226111974754,100,0.714285714285714
74,50,1,"IV-TS",54.2953300388036,100,0.545454545454546
74,50,1,"IV-G",NA,NA,NA
74,50,1,"IV-GMM",927.965055621121,100,0.714285714285714
75,50,1,"GLM",22.6861861173239,100,0.675347222222222
75,50,1,"IV-TS",235.199000707006,100,0.646701388888889
75,50,1,"IV-G",66.6103315601405,100,0.675347222222222
75,50,1,"IV-GMM",970.763421685108,100,0.675347222222222
76,50,1,"GLM",924.117962148404,100,0.8
76,50,1,"IV-TS",44.8089669464876,100,0.6
76,50,1,"IV-G",NA,NA,NA
76,50,1,"IV-GMM",1026.52975836324,100,0.8
77,50,1,"GLM",53.0865180703636,100,0.567307692307692
77,50,1,"IV-TS",42.7440332163607,100,0.519230769230769
77,50,1,"IV-G",36.0902332622265,100,0.567307692307692
77,50,1,"IV-GMM",39.8014321136283,100,0.567307692307692
78,50,1,"GLM",21.0184064323415,100,0.719251336898396
78,50,1,"IV-TS",399.408004613308,100,0.611408199643494
78,50,1,"IV-G",NA,NA,NA
78,50,1,"IV-GMM",925.512581527842,100,0.719251336898396
79,50,1,"GLM",15.892628256239,100,0.690705128205128
79,50,1,"IV-TS",787.047772849124,100,0.606570512820513
79,50,1,"IV-G",NA,NA,NA
79,50,1,"IV-GMM",882.950692678854,100,0.309294871794872
80,50,1,"GLM",840.559548474395,100,0.666666666666667
80,50,1,"IV-TS",156.072519050258,100,0.513687600644122
80,50,1,"IV-G",NA,NA,NA
80,50,1,"IV-GMM",821.453163019189,100,0.666666666666667
81,50,1,"GLM",806.28421373726,100,0.636363636363636
81,50,1,"IV-TS",29.7483475777512,100,0.545454545454545
81,50,1,"IV-G",NA,NA,NA
81,50,1,"IV-GMM",896.912635110986,100,0.636363636363636
82,50,1,"GLM",5.859093483107,100,0.655993431855501
82,50,1,"IV-TS",390.821876021444,100,0.650246305418719
82,50,1,"IV-G",NA,NA,NA
82,50,1,"IV-GMM",1068.30817580948,100,0.655993431855501
83,50,1,"GLM",881.334657114622,100,0.757575757575758
83,50,1,"IV-TS",125.56653676083,100,0.523172905525847
83,50,1,"IV-G",NA,NA,NA
83,50,1,"IV-GMM",125.184528269236,0,0.757575757575758
84,50,1,"GLM",933.234040453836,100,0.804347826086957
84,50,1,"IV-TS",3.68904732649931,100,0.535426731078905
84,50,1,"IV-G",873.952855845651,0,0.5
84,50,1,"IV-GMM",6.97792290135519,100,0.804347826086957
85,50,1,"GLM",62.9048269008325,100,0.74
85,50,1,"IV-TS",39.709486259003,100,0.56
85,50,1,"IV-G",14.7625822103183,100,0.74
85,50,1,"IV-GMM",36.8079962429451,100,0.74
86,50,1,"GLM",50.1833280226159,100,0.567323481116585
86,50,1,"IV-TS",273.360274621244,100,0.550903119868637
86,50,1,"IV-G",NA,NA,NA
86,50,1,"IV-GMM",895.888391886736,100,0.432676518883415
87,50,1,"GLM",73.9079211398782,100,0.75487012987013
87,50,1,"IV-TS",61.5154785079502,100,0.566558441558442
87,50,1,"IV-G",NA,NA,NA
87,50,1,"IV-GMM",763.307372174182,100,0.75487012987013
88,50,1,"GLM",19.1313900333508,100,0.691558441558442
88,50,1,"IV-TS",62.2662359858451,100,0.512987012987013
88,50,1,"IV-G",34.3328331518228,100,0.691558441558442
88,50,1,"IV-GMM",62.3325187417337,100,0.691558441558442
89,50,1,"GLM",848.576680782863,100,0.758620689655172
89,50,1,"IV-TS",15.8075708457874,100,0.602627257799672
89,50,1,"IV-G",NA,NA,NA
89,50,1,"IV-GMM",89.4419359367869,100,0.758620689655172
90,50,1,"GLM",0.172305906530212,100,0.675
90,50,1,"IV-TS",100,100,0.5
90,50,1,"IV-G",100,100,0.5
90,50,1,"IV-GMM",100.012162745646,100,0.325
91,50,1,"GLM",38.6294309884516,100,0.68
91,50,1,"IV-TS",1.47047356421149,100,0.56
91,50,1,"IV-G",1.34691901930591,100,0.68
91,50,1,"IV-GMM",22.6582610774531,100,0.68
92,50,1,"GLM",71.3757344989728,100,0.744663382594417
92,50,1,"IV-TS",45.3258830587648,100,0.513957307060755
92,50,1,"IV-G",174.080219233849,100,0.744663382594417
92,50,1,"IV-GMM",111.704597149522,100,0.744663382594417
93,50,1,"GLM",54.1371824521608,100,0.694397283531409
93,50,1,"IV-TS",546.454745382957,100,0.584040747028862
93,50,1,"IV-G",NA,NA,NA
93,50,1,"IV-GMM",954.182062490114,100,0.694397283531409
94,50,1,"GLM",886.806988010766,100,0.785714285714286
94,50,1,"IV-TS",168.264804215226,100,0.524630541871921
94,50,1,"IV-G",NA,NA,NA
94,50,1,"IV-GMM",906.459939406716,100,0.785714285714286
95,50,1,"GLM",878.468530820412,100,0.725
95,50,1,"IV-TS",74.1757391198325,100,0.558333333333333
95,50,1,"IV-G",NA,NA,NA
95,50,1,"IV-GMM",986.368131136012,100,0.725
96,50,1,"GLM",870.668318398157,100,0.727272727272727
96,50,1,"IV-TS",143.279064863274,100,0.548701298701299
96,50,1,"IV-G",NA,NA,NA
96,50,1,"IV-GMM",982.053916442831,100,0.727272727272727
97,50,1,"GLM",6.41158529246073,100,0.678743961352657
97,50,1,"IV-TS",97.5452059215388,100,0.501610305958132
97,50,1,"IV-G",97.6298853840373,100,0.678743961352657
97,50,1,"IV-GMM",97.54536117977,100,0.678743961352657
98,50,1,"GLM",10.4120265387557,100,0.616666666666667
98,50,1,"IV-TS",82.790117639719,100,0.566666666666667
98,50,1,"IV-G",87.3240728240282,100,0.616666666666667
98,50,1,"IV-GMM",848.623627167726,100,0.616666666666667
99,50,1,"GLM",68.3647863756356,100,0.733333333333333
99,50,1,"IV-TS",130.057159904298,100,0.675
99,50,1,"IV-G",NA,NA,NA
99,50,1,"IV-GMM",852.037070135601,100,0.733333333333333
100,50,1,"GLM",52.2261210371738,100,0.697044334975369
100,50,1,"IV-TS",147.004930344918,100,0.64367816091954
100,50,1,"IV-G",NA,NA,NA
100,50,1,"IV-GMM",1122.69894704156,100,0.697044334975369
1,100,1,"GLM",31.088291625161,100,0.755608974358974
1,100,1,"IV-TS",22.0981637651004,100,0.551282051282051
1,100,1,"IV-G",28.5705139892962,100,0.755608974358974
1,100,1,"IV-GMM",16.08430958663,100,0.755608974358974
2,100,1,"GLM",15.27021396143,100,0.645454545454545
2,100,1,"IV-TS",119.419544710699,100,0.515151515151515
2,100,1,"IV-G",121.539143391884,100,0.354545454545455
2,100,1,"IV-GMM",119.737567565946,100,0.354545454545455
3,100,1,"GLM",2.45879180712416,100,0.641414141414141
3,100,1,"IV-TS",308.857349239516,100,0.603030303030303
3,100,1,"IV-G",NA,NA,NA
3,100,1,"IV-GMM",822.93304498642,100,0.641414141414141
4,100,1,"GLM",49.4916275710985,100,0.628863910076275
4,100,1,"IV-TS",187.840717385429,100,0.511240465676435
4,100,1,"IV-G",NA,NA,NA
4,100,1,"IV-GMM",219.717187081625,100,0.371136089923725
5,100,1,"GLM",43.1100424136393,100,0.737980769230769
5,100,1,"IV-TS",328.142429328141,100,0.52323717948718
5,100,1,"IV-G",NA,NA,NA
5,100,1,"IV-GMM",1088.42919335464,100,0.737980769230769
6,100,1,"GLM",49.6348668600871,100,0.75
6,100,1,"IV-TS",99.9999999999998,100,0.5
6,100,1,"IV-G",99.9999575241099,100,0.75
6,100,1,"IV-GMM",99.9972026493112,100,0.75
7,100,1,"GLM",97.0096941197062,0,0.799660441426146
7,100,1,"IV-TS",81.5573309206663,100,0.619269949066214
7,100,1,"IV-G",143.190010287936,100,0.799660441426146
7,100,1,"IV-GMM",272.637777048354,100,0.799660441426146
8,100,1,"GLM",67.6855357685916,100,0.754101640656263
8,100,1,"IV-TS",49.5852109495684,100,0.529211684673869
8,100,1,"IV-G",43.8357970051933,100,0.754101640656263
8,100,1,"IV-GMM",47.6950570500157,100,0.754101640656263
9,100,1,"GLM",57.9125601521443,100,0.746460746460746
9,100,1,"IV-TS",65.5312736403821,100,0.594165594165594
9,100,1,"IV-G",93.2496110162205,100,0.746460746460746
9,100,1,"IV-GMM",119.658603167961,100,0.746460746460746
10,100,1,"GLM",73.3689536665641,100,0.745833333333333
10,100,1,"IV-TS",11.3688137001107,100,0.566666666666667
10,100,1,"IV-G",0.266688999602804,100,0.745833333333333
10,100,1,"IV-GMM",19.518944761639,100,0.745833333333333
11,100,1,"GLM",36.8110538285574,100,0.663961038961039
11,100,1,"IV-TS",66.9958178632432,100,0.564935064935065
11,100,1,"IV-G",122.727079249663,100,0.663961038961039
11,100,1,"IV-GMM",1093.58784328778,100,0.663961038961039
12,100,1,"GLM",42.8335919724015,100,0.705494505494506
12,100,1,"IV-TS",10.8145684701627,100,0.569230769230769
12,100,1,"IV-G",8.6324632542259,100,0.705494505494506
12,100,1,"IV-GMM",9.6633911118164,100,0.705494505494506
13,100,1,"GLM",850.617780509438,100,0.68
13,100,1,"IV-TS",29.9415551759001,100,0.56
13,100,1,"IV-G",NA,NA,NA
13,100,1,"IV-GMM",1088.1887976342,100,0.68
14,100,1,"GLM",5.46012944203313,100,0.67442794058611
14,100,1,"IV-TS",70.0409080157668,100,0.521878763548776
14,100,1,"IV-G",56.3470551553829,100,0.67442794058611
14,100,1,"IV-GMM",69.4338903730098,100,0.67442794058611
15,100,1,"GLM",62.9048269008325,100,0.74
15,100,1,"IV-TS",11.1979762001494,100,0.6
15,100,1,"IV-G",79.1811452667204,100,0.74
15,100,1,"IV-GMM",38.7283926411799,100,0.74
16,100,1,"GLM",46.8445886765492,100,0.7
16,100,1,"IV-TS",14.3464912234341,100,0.56
16,100,1,"IV-G",5.03047280716156,100,0.7
16,100,1,"IV-GMM",2.11384945683288,100,0.7
17,100,1,"GLM",78.1739090838339,100,0.692693697310317
17,100,1,"IV-TS",623.221031429602,100,0.528904054596548
17,100,1,"IV-G",NA,NA,NA
17,100,1,"IV-GMM",791.456469609632,100,0.692693697310317
18,100,1,"GLM",75.7014956076925,100,0.667739167739168
18,100,1,"IV-TS",1.29470060466431,100,0.522737022737023
18,100,1,"IV-G",17.0364526770762,100,0.667739167739168
18,100,1,"IV-GMM",0.624500922105975,100,0.667739167739168
19,100,1,"GLM",28.6730023564384,100,0.637452711223203
19,100,1,"IV-TS",40.0354954385031,100,0.508406893652795
19,100,1,"IV-G",143.773430869095,100,0.362547288776797
19,100,1,"IV-GMM",41.2080981637971,100,0.637452711223203
20,100,1,"GLM",41.6606669237604,100,0.675324675324675
20,100,1,"IV-TS",103.668239339199,100,0.558441558441558
20,100,1,"IV-G",NA,NA,NA
20,100,1,"IV-GMM",1016.07585635037,100,0.675324675324675
21,100,1,"GLM",0.553623293081196,100,0.665656565656566
21,100,1,"IV-TS",113.07234997565,100,0.532323232323232
21,100,1,"IV-G",NA,NA,NA
21,100,1,"IV-GMM",833.89204960421,100,0.665656565656566
22,100,1,"GLM",84.025558933713,100,0.709134615384615
